key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.history.pan-american-history.north-american-history.mexican-history,Mexican history,,North American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Mexico
humanities.history.pan-american-history.north-american-history.cuban-history,Cuban history,,North American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Cuba
humanities.history.pan-american-history.south-american-history,South American history,,Pan-American history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_South_America
humanities.history.pan-american-history.south-american-history.latin-american-history,Latin American history,,South American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Latin_America
humanities.history.pan-american-history.south-american-history.brazilian-history,Brazilian history,,South American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Brazil
humanities.history.pan-american-history.south-american-history.colombian-history,Colombian history,,South American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Colombia
humanities.history.pan-american-history.south-american-history.venezuelan-history,Venezuelan history,,South American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Venezuela
humanities.history.pan-american-history.south-american-history.peruvian-history,Peruvian history,,South American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Peru
humanities.history.pan-american-history.south-american-history.argentine-history,Argentine history,,South American history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Argentina
humanities.history.pan-american-history.pre-columbian-era,Pre-Columbian era,,Pan-American history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Pre-Columbian_era
humanities.history.pan-american-history.pre-columbian-era.mayan-history,Mayan history,,Pre-Columbian era|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Maya_civilization
humanities.history.pan-american-history.pre-columbian-era.aztec-history,Aztec history,,Pre-Columbian era|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Aztecs
humanities.history.pan-american-history.pre-columbian-era.inca-history,Inca history,,Pre-Columbian era|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Incas
humanities.history.pan-american-history.pre-columbian-era.mississippian-culture-art-history,Mississippian culture* Art History,,Pre-Columbian era|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Mississippian_culture
humanities.history.latin-american-history,Latin American history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Latin_America
humanities.history.jewish-history,Jewish history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Jewish_history
humanities.history.cultural-history,Cultural history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Cultural_history
