key,name,description,attached to,layer,type,url
social-science.geography.integrated-geography,Integrated geography,,Geography|0,2,S,https://en.wikipedia.org/wiki/Integrated_geography
social-science.geography.cartography,Cartography,,Geography|0,2,S,https://en.wikipedia.org/wiki/Cartography
social-science.geography.cartography.celestial-cartography,Celestial cartography,,Cartography|0,3,S,https://en.wikipedia.org/wiki/Celestial_cartography
social-science.geography.cartography.planetary-cartography,Planetary cartography,,Cartography|0,3,S,https://en.wikipedia.org/wiki/Planetary_cartography
social-science.geography.cartography.topography,Topography,,Cartography|0,3,S,https://en.wikipedia.org/wiki/Topography
social-science.geography.navigation,Navigation,,Geography|0,2,S,https://en.wikipedia.org/wiki/Navigation
social-science.geography.regional-geography,Regional geography,,Geography|0,2,S,https://en.wikipedia.org/wiki/Regional_geography
social-science.political-science,Political science,,History|0;Communication|0;Law|0;Psychology|0;Economics|0,3,S0,https://en.wikipedia.org/wiki/Politics
social-science.political-science.american-politics,American politics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Politics_of_the_United_States
social-science.political-science.canadian-politics,Canadian politics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Politics_of_Canada
social-science.political-science.civics,Civics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Civics
social-science.political-science.health-politics,Health politics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Health_politics
social-science.political-science.biopolitics,Biopolitics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Biopolitics
social-science.political-science.comparative-politics,Comparative politics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Comparative_politics
social-science.political-science.geopolitics-political-geography,Geopolitics (Political geography),,Political science|0,4,S,https://en.wikipedia.org/wiki/Geopolitics
social-science.political-science.indian-politics,Indian politics,,Political science|0,4,S,https://en.wikipedia.org/wiki/Indian_politics
social-science.political-science.international-relations,International relations,,Political science|0,4,S,https://en.wikipedia.org/wiki/International_relations
social-science.political-science.international-organizations,International organizations,,Political science|0,4,S,https://en.wikipedia.org/wiki/International_organization
social-science.political-science.nationalism-studies,Nationalism studies,,Political science|0,4,S,https://en.wikipedia.org/wiki/Nationalism_studies
social-science.political-science.peace-and-conflict-studies,Peace and conflict studies,,Political science|0,4,S,https://en.wikipedia.org/wiki/Peace_and_conflict_studies
social-science.political-science.political-behavior,Political behavior,,Political science|0,4,S,https://en.wikipedia.org/wiki/Theories_of_political_behavior
social-science.political-science.political-culture,Political culture,,Political science|0,4,S,https://en.wikipedia.org/wiki/Political_culture
social-science.political-science.political-philosophy,Political philosophy,,Political science|0,4,S,https://en.wikipedia.org/wiki/Political_philosophy
social-science.political-science.public-administration,Public administration,,Political science|0,4,S,https://en.wikipedia.org/wiki/Public_administration
